Nombre producto,id,Material,Package Color,Packaging,Capacity,Botella cap,Brand,Reference,Dirt,Product category,,,,,,,,,,,,,,,
Agogó Centro Líquido Fresa 7g,1,PLÁSTICO,Rosado opaco,Envoltorio,7 g,N/A,Agogó,Fresa,FALSE,,,,,,,,,,,,,,,,
Agogó Centro Líquido Mora Azul 7g,2,PLÁSTICO,Azul opaco,Envoltorio,7 g,N/A,Agogó,Mora Azul,FALSE,,,,,,,,,,,,,,,,
Alpina Arequipe 50g,3,PLÁSTICO,Opaco colorido,Envase,50 g,N/A,Alpina,Arequipe,FALSE,,,,,,,,,,,,,,,,
Alpina Avena Canela 250 g,4,MIXTO_RECICLABLE,PLÁSTICO,Envase,250 g,N/A,Alpina,Avena Canela,FALSE,,,,,,,,,,,,,,,,
Alpina Avena Original 250 g,5,MIXTO_RECICLABLE,Opaco colorido,Envase,250 g,N/A,Alpina,Avena Original,FALSE,,,,,,,,,,,,,,,,
Alpina Original Yogurt Fresa 150g,6,PET,Opaco colorido,Envase,150 g,N/A,Alpina,Fresa Original,FALSE,,,,,,,,,,,,,,,,
Alpina Original Yogurt Melocotón 150g,7,PET,Opaco colorido,Envase,150 g,N/A,Alpina,Melocotón Original,FALSE,,,,,,,,,,,,,,,,
Yogurt Griego Coco 150 g,8,PLÁSTICO,Opaco colorido,Envase,150 g,TRUE,Alpina,Yogurt Griego Coco,FALSE,Yogur,,,,,,,,,,,,,,,
Arequipe Kipe 20g,9,PLÁSTICO,Opaco colorido,Envoltorio,20 g,N/A,Alpina,Kipe,FALSE,,,,,,,,,,,,,,,,
Baileys Chocolates 30g,10,CARTÓN,Negro opaco,Caja,30 g,N/A,Baileys,Chocolates,FALSE,Chocolate,,,,,,,,,,,,,,,
Baileys Mont Blanc Chocolate Blanco 42g,11,PLÁSTICO,Opaco colorido,Envoltorio,42 g,N/A,Baileys,Mont Blanc,FALSE,Chocolate,,,,,,,,,,,,,,,
Barrilete Original 15g,12,PLÁSTICO,Opaco colorido,Envoltorio,15 g,N/A,Barrilete,Original,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Bary Lomos de Atún en Agua 160g,13,ALUMINIO,Opaco colorido,Lata,160 g,N/A,Bary,Atún Lomos de Atún en Agua,FALSE,,,,,,,,,,,,,,,,
Bary Snacks Aranda Mix 40g,14,PLÁSTICO,Rosado opaco,Envoltorio,40 g,N/A,Bary,Snacks Aranda Mix,FALSE,Snacks,,,,,,,,,,,,,,,
Bary Snacks Frutos Secos y Arándanos 40g,15,PLÁSTICO,Morado,Envoltorio,40 g,N/A,Bary,Snacks Frutos Secos y Arándanos,FALSE,Snacks,,,,,,,,,,,,,,,
Bary Snacks Maní con Pasas 35 g,16,PLÁSTICO,Azul,Envoltorio,35 g,N/A,Bary,Snacks Maní con Pasas,FALSE,Snacks,,,,,,,,,,,,,,,
Bary Snacks Maní Pollo 35 g,17,PLÁSTICO,Naranjado,Envoltorio,35 g,N/A,Bary,Snacks Maní Pollo,FALSE,Snacks,,,,,,,,,,,,,,,
Bianchi Caramelo Maní Sabor Chocolate 40g,18,PLÁSTICO,Azul opaco,Envoltorio,40 g,N/A,Bianchi,Maní Sabor Chocolate,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Bib's Amendoim 55g,19,PLÁSTICO,Rojo opaco,Envoltorio,55 g,N/A,Bib's,Amendoim,FALSE,Chocolate,,,,,,,,,,,,,,,
Bimbo Artesano Pan de Mesa 65g,20,PLÁSTICO,Transparente claro,Envoltorio,65 g,N/A,Bimbo,Artesano Pan de Mesa,FALSE,,,,,,,,,,,,,,,,
Bimbo Chocoso 65g,21,PLÁSTICO,Rojo opaco,Envoltorio,65 g,N/A,Bimbo,Chocoso,FALSE,Chocolate,,,,,,,,,,,,,,,
Bon Bon Bum Fressa 19g,22,PLÁSTICO,Rojo opaco,Envoltorio,19 g,N/A,Bon Bon Bum,Fressa,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Bon Yurt Zucaritas 170g,23,PLÁSTICO,Opaco colorido,Envase,170 g,N/A,Bon Yurt,Zucaritas,FALSE,Yogur,,,,,,,,,,,,,,,
Brisa Agua con Gas 600ml,24,PET,Transparente claro,Botella,600 ml,TRUE,Brisa,Con Gas,FALSE,Agua,,,,,,,,,,,,,,,
Brisa Agua Lima-limón 280ml,25,PET,Verde transparente,Botella,280 ml,TRUE,Brisa,Lima-Limón,FALSE,Agua,,,,,,,,,,,,,,,
Brisa Manzana 600ml,26,PET,Transparente claro,Botella,600 ml,TRUE,Brisa,Manzana,FALSE,Agua,,,,,,,,,,,,,,,
Bubbaloo Sparkies Frutal 25g,27,PLÁSTICO,Opaco colorido,Envoltorio,25 g,N/A,Bubbaloo,Sparkies,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Candy Ranch Cereza/Cherry Lengüeta Loca,28,PLÁSTICO,Opaco colorido,Envoltorio,15 g,N/A,Candy Ranch,Cereza/Cherry,FALSE,Snacks,,,,,,,,,,,,,,,
Candy Ranch Lengüeta Loca Maracuyá 15g,29,PLÁSTICO,Opaco colorido,Envoltorio,15 g,N/A,Candy Ranch,Maracuyá,FALSE,Snacks,,,,,,,,,,,,,,,
Candy Ranch Lengüeta Loca Mora Azul 15g,30,PLÁSTICO,Opaco colorido,Envoltorio,15 g,N/A,Candy Ranch,Mora Azul,FALSE,Snacks,,,,,,,,,,,,,,,
Chao Pastillas Cereza 20.4g,31,PAPEL_OTROS,Rosado opaco,Envoltorio,20.4 g,N/A,Chao,Pastillas Cereza,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Cheese tris Original 45g,32,PLÁSTICO,Rojo opaco,Envoltorio,45 g,N/A,Cheese tris,Original,FALSE,Snacks,,,,,,,,,,,,,,,
Cheetos Boliqueso 34g,33,PLÁSTICO,Azul opaco,Envoltorio,34 g,N/A,Cheetos,Boliqueso,FALSE,Snacks,,,,,,,,,,,,,,,
Cheetos Maxi 15g,34,PLÁSTICO,Amarillo,Envoltorio,15 g,N/A,Cheetos,Maxi Original,FALSE,Snacks,,,,,,,,,,,,,,,
Cheetos Trissitos 34g,35,PLÁSTICO,Rojo opaco,Envoltorio,34 g,N/A,Cheetos,Trissitos,FALSE,Snacks,,,,,,,,,,,,,,,
Chefrito Trocipollo 30g,36,PLÁSTICO,Rojo opaco,Envoltorio,30 g,N/A,Chefrito,Trocipollo,FALSE,Snacks,,,,,,,,,,,,,,,
Chicharrón Americano Jacks Natural 15g,37,PLÁSTICO,Azul opaco,Envoltorio,15 g,N/A,Chicharrón Americano Jacks,Natural,FALSE,Snacks,,,,,,,,,,,,,,,
Chiclets Menta Caja 16.8g,38,CARTÓN,Amarillo,Caja,16.8 g,N/A,Chiclets,Menta,FALSE,Chicle,,,,,,,,,,,,,,,
Chipsy King Papas Limón 50g,39,PLÁSTICO,Transparente,Envoltorio,50 g,N/A,Chipsy King,Limón,FALSE,Snacks,,,,,,,,,,,,,,,
Chipsy King Snacks Papa Limón/Pimienta 70g,40,PLÁSTICO,Transparente claro,Envoltorio,70 g,N/A,Chipsy King,Papas Limón/Pimienta,FALSE,Snacks,,,,,,,,,,,,,,,
Chipsy King Snacks Plátano Maduro 70g,41,PLÁSTICO,Transparente claro,Envoltorio,50 g,N/A,Chipsy King,Plátano Maduro,FALSE,Snacks,,,,,,,,,,,,,,,
Chipsy King Snacks Plátano Verde 70g,42,PLÁSTICO,Transparente claro,Envoltorio,50 g,N/A,Chipsy King,Plátano Verde,FALSE,Snacks,,,,,,,,,,,,,,,
Choclitos Limón 40g,43,PLÁSTICO,Verde opaco,Envoltorio,40 g,N/A,Choclitos,Limón,FALSE,Snacks,,,,,,,,,,,,,,,
Chocmelos Ice Cream 19g,44,PLÁSTICO,Opaco colorido,Envoltorio,19 g,N/A,ChocMelos,Ice Cream,FALSE,Snacks,,,,,,,,,,,,,,,
Choco Lyne Chocolatina con Leche 24g,45,PLÁSTICO,Opaco colorido,Envoltorio,24 g,N/A,Choco Lyne,Chocolate con Leche,FALSE,Chocolate,,,,,,,,,,,,,,,
Chocolate Santander Amargo 70g,46,CARTÓN,Café opaco,Caja,70 g,N/A,Santander,Amargo,FALSE,Chocolate,,,,,,,,,,,,,,,
Chocolate Santander Semi Amargo 70g,47,CARTÓN,Café opaco,Caja,70 g,N/A,Santander,Semi Amargo,FALSE,Chocolate,,,,,,,,,,,,,,,
Chocolatina Jet Original 12g,48,PAPEL_OTROS,Azul opaco,Envoltorio,12 g,N/A,Jet,Original,FALSE,Chocolate,,,,,,,,,,,,,,,
Chocoramo 5 unds 325g,49,PLÁSTICO,Naranjado,Envoltorio,325 g,N/A,Chocoramo,Original,FALSE,Snacks,,,,,,,,,,,,,,,
Chocoramo 65g,50,PLÁSTICO,Naranjado,Envoltorio,65 g,N/A,Chocoramo,Original,FALSE,Snacks,,,,,,,,,,,,,,,
Chocoramo Mini 20g,51,PLÁSTICO,Naranjado,Envoltorio,20 g,N/A,Chocoramo,Mini,FALSE,Snacks,,,,,,,,,,,,,,,
Chokis Black Galletas 37g,52,PLÁSTICO,Negro opaco,Envoltorio,37 g,N/A,Chokis,Black,FALSE,Snacks,,,,,,,,,,,,,,,
Chokis Chocobase Galletas 47g,53,PLÁSTICO,Rojo opaco,Envoltorio,47 g,N/A,Chokis,Chocobase,FALSE,Snacks,,,,,,,,,,,,,,,
Chokis Clásica 37g,54,PLÁSTICO,Azul opaco,Envoltorio,37 g,N/A,Chokis,Clásica,FALSE,Snacks,,,,,,,,,,,,,,,
Clight Limón 14g,55,PLÁSTICO,Opaco colorido,Envoltorio,14 g,N/A,Clight,Limón,FALSE,,,,,,,,,,,,,,,,
Club Social Galletas Original 26g,56,PLÁSTICO,Azul opaco,Envoltorio,26 g,N/A,Club Social,Original,FALSE,Galletas,,,,,,,,,,,,,,,
Coca-Cola Original 400 ml,57,PET,Transparente,Botella,400 ml,TRUE,Coca-Cola,Sabor original,FALSE,Gaseosa,,,,,,,,,,,,,,,
Coca-Cola Original Lata 235ml,58,ALUMINIO,Rojo opaco,Lata,235 ml,N/A,Coca-Cola,Sabor original,FALSE,Gaseosa,,,,,,,,,,,,,,,
Coca-Cola Zero Botella 400 ml,59,PET,Transparente claro,Botella,400 ml,TRUE,Coca-Cola,Zero,FALSE,Gaseosa,,,,,,,,,,,,,,,
